Hanzi	Meaning	Notes
建	build	jiàn
延	prolong	yán
诞	nativity	dàn
楚	clear	chǔ
础	foundation	chǔ
衣	clothing	yī
里		lǐ
哀	grief	āi
袁	Yuan	yuán
远	distant	yuǎn
坏	bad	huài
初	elementary	chū
巾	towel	jīn
布	cloth	bù
帽	hat	mào
幕	curtain	mù
棉	cotton	mián
帮	help	bāng
市	market	shì
肺	lungs	fèi
带	sash	dài
滞	stagnant	zhì
刺	thorn	cì
制	system	zhì
制		zhì
云		yún
雨	rain	yǔ
云	cloud	yún
雷	thunder	léi
电	electricity	diàn
霜	frost	shuāng
冰	ice	bīng
冬	winter	dōng
天	heavens	tiān
夭	die young	yāo
乔	pretend	qiáo
桥	bridge	qiáo
娇	attractive	jiāo
立	standing up	lì
泣	weep	qì
站	station	zhàn
章	chapter	zhāng
竞	compete	jìng
帝	sovereign	dì
童	juvenile	tóng
钟	bell	zhōng
商	salesman	shāng
适	suitable	shì
敌	enemy	dí
匕	ancient spoon	bǐ
北	north	běi
背	back	bèi
比	compare	bǐ
昆	descendants	kūn
混	mix	hùn
皆	all	jiē
此	this (literary)	cǐ
些	somewhat	xiē
它	it	tā
旨	purpose	zhǐ
脂	grease	zhī
每	every	měi
梅	small plum	méi
海	sea	hǎi
乞	beg	qǐ
吃	eat	chī
干	dry	gān
复	duplicate	fù
腹	abdomen	fù
欠	lack	qiàn
吹	blow	chuī
歌	song	gē
软	soft	ruǎn
次	next	cì
资	assets	zī
姿	looks	zī
咨	consult with	zī
赔	compensate	péi
培	cultivate	péi
音	sound	yīn
暗	dark	àn
韵	rhyme	yùn
识	knowledge	shí
帜	streamer	zhì
竟	unexpectedly	jìng
镜	mirror	jìng
境	boundary	jìng
亡	deceased	wáng
盲	blind	máng
妄	absurd	wàng
望	expect	wàng
方	direction	fāng
妨	hinder	fáng
放	release	fàng
激	excite	jī
于		yú
旁	side	páng
兑	convert	duì
脱	undress	tuō
说	speak	shuō
曾	formerly	céng
增	increase	zēng
赠	make a present of	zèng
东	east	dōng
栋	building	dòng
冻	freeze	dòng
也	also	yě
她	she	tā
地	ground	dì
池	pond	chí
虫	insect	chóng
蛇	serpent	shé
蛋	egg	dàn
风	wind	fēng
讽	mock	fěng
己	self	jǐ
改	alter	gǎi
记	remember	jì
已	already	yǐ
包	wrap	bāo
泡	bubbles	pào
起	begin	qǐ
家	house	jiā
场	site	chǎng
汤	soup	tāng
羊	sheep	yáng
美	beautiful	měi
洋	ocean	yáng
鲜	fresh	xiān
达	reach	dá
样	appearance	yàng
差	fall short of	chà
集	gather	jí
进	advance	jìn
准	standard	zhǔn
谁	who?	shéi
售	vend	shòu
虽	although	suī
确	reliable	què
午	noon	wǔ
许	permit	xǔ
羽	feathers	yǔ
习	learn	xí
翔	soar	xiáng
困	trapped	kùn
固	solid	gù
